t,lwww,rwww
3.468,100.0,70.29588056125196
3.48,100.0,70.1484663783313
3.492,100.0,69.97115983777552
3.504,100.0,69.82521113621995
3.516,100.0,69.64733614150721
3.528,100.0,69.50231124661218
3.54,100.0,69.3883413850113
3.552,100.0,69.24050373052502
3.564,100.0,69.12368636399567
3.576,100.0,68.97473252382073
3.588,100.0,68.7935790272729
3.6,100.0,68.64324771660935
3.612,100.0,68.46396820198434
3.624,100.0,68.3170460265697
3.636,100.0,68.13580248833246
3.648,100.0,67.92358568314788
3.66,100.0,67.74673389083253
3.672,100.0,67.53854066791831
3.684,100.0,67.36195932381358
3.696,100.0,67.15544498612314
3.708,100.0,66.98370181602259
3.72,100.0,66.84146096416652
3.732,100.0,66.66557972608449
3.744,100.0,66.45944362694858
3.7560000000000002,100.0,66.22460976094428
3.7680000000000002,100.0,66.02225720862785
3.7800000000000002,100.0,65.85222375668376
3.7920000000000003,100.0,65.71275066180456
3.8040000000000003,100.0,65.53899863564618
3.8160000000000003,100.0,65.3326882186406
3.8280000000000003,100.0,65.15853887737188
3.84,100.0,65.01480302744976
3.852,100.0,64.8981048138997
3.864,100.0,64.74717465750972
3.876,100.0,64.56380884733431
3.888,100.0,64.40941130911465
3.9,100.0,64.28231208127126
3.912,100.0,64.1826441799808
3.924,100.0,64.04921791379044
3.936,100.0,63.880487929047206
3.948,100.0,63.73963516708139
3.96,100.0,63.62844525850062
3.972,100.0,63.54200527311276
3.984,100.0,63.417498802947165
3.996,100.0,63.26022318131203
4.008,100.0,63.13170749959079
4.0200000000000005,100.0,62.783262044513066
4.032,100.0,62.471903613306964
4.0440000000000005,100.0,62.13900168366186
4.056,100.0,61.78091032135598
4.0680000000000005,100.0,61.337543962958605
4.08,100.0,60.93740019778735
4.0920000000000005,100.0,60.578097784503974
4.104,100.0,60.19441098571814
4.116,100.0,59.78747672253352
4.128,100.0,59.42122255954863
4.14,100.0,59.09341638243559
4.152,100.0,58.80028984347377
4.164,99.83428874788362,58.48011558363107
4.176,99.56393589446566,58.134259582718855
4.188,99.33135342091391,57.82372127949623
4.2,99.13434516859472,57.5464504982458
4.212,98.91279456939144,57.302183337554865
4.224,98.60832590327469,57.02941596106224
4.236,98.3414925058365,56.72633053867783
4.248,98.1100427260899,56.394425919510375
4.26,97.85540592497475,56.09808777125413
4.272,97.6352342530273,55.77233709132277
4.284,97.50557916124997,55.41701604996415
4.296,97.40157406291581,54.97381106020246
4.308,97.32312543256054,54.50850386047228
4.32,97.21203177010973,54.08485686336219
4.332,97.1266965710036,53.63770956147451
4.344,97.06554361641938,53.16811497035333
4.356,96.97050134296506,52.73990384471569
4.368,96.78544418481482,52.35247489684653
4.38,96.62989700660104,51.939010012188376
4.392,96.50206846266063,51.5007245149315
4.404,96.40189766449924,51.1000992312833
4.416,96.15202304107169,50.67860296746443
4.428,95.93651174574117,50.29379335151627
4.44,95.75337098758264,49.94353803647636
4.452,95.54276816880345,49.627588687193274
4.464,95.306234689908,49.34409629042875
4.476,95.101318659696,49.028000631996484
4.488,94.92787134326583,48.74239594450033
4.5,94.60853457280719,48.42941361538617
4.5120000000000005,94.15341987022472,48.15242144832874
4.524,93.74356184789843,47.90397916061016
4.5360000000000005,93.37631491923266,47.68244383509784
4.548,92.99139372901466,47.48818807138808
4.5600000000000005,92.58971767362962,47.31976012289895
4.572,92.22800422967035,47.112217857844584
4.5840000000000005,91.84602539210127,46.869468030444686
4.596,91.44662669542849,46.65496862150601
4.6080000000000005,91.08852579746272,46.46530797460522
4.62,90.7693147332173,46.29906629439851
4.632,90.4288844937979,46.156778896751746
4.644,90.06835955507354,46.037186302050976
4.656,89.74475897504769,45.875635915834046
4.668,89.45588306335073,45.674336092011586
4.68,89.14353537538729,45.498664785779155
4.692,88.80898030952704,45.34726703740191
4.704,88.51128181331572,45.21702925630836
4.716,88.19040322245965,45.10857300992253
4.728,87.84758151942935,45.0207643971394
4.74,87.54004814218759,44.889175490365034
4.752,87.32366695029668,44.714374349241304
4.764,86.9631264808812,44.56703814865964
4.776,86.46666044084878,44.446081601783135
4.788,86.0100158172627,44.160199533369926
4.8,85.59602058691203,43.90267515473454
4.812,85.16420917034222,43.673617231988445
4.824,84.71374771688954,43.41002678358908
4.836,84.30350436288144,43.11201105261549
4.848,83.87473983111597,42.84441603128356
4.86,83.3704810491002,42.607374897573855
4.872,82.91079109785301,42.395810198327105
4.884,82.49306587662346,42.20826512565391
4.896,81.99896712388787,42.046910708749195
4.908,81.48884486045017,41.84716561859724
4.92,81.02312024646812,41.670794940854755
4.932,80.6554979901129,41.4533359357724
4.944,80.26597757212178,41.261636256375496
4.956,79.85572317974736,41.09432840130929
4.968,79.48382873252568,40.948411157346484
4.98,79.14806258979733,40.8226731792891
4.992,78.7285747799386,40.6579390135647
5.0040000000000004,78.34764450261675,40.514416887699724
5.016,78.00138128434428,40.32954394067041
5.0280000000000005,77.63125556925917,40.168459077797195
5.04,77.12250668675918,40.033301468662216
5.0520000000000005,76.6568952361767,39.91779208294594
5.064,76.2319029058307,39.820824421005796
5.0760000000000005,75.78544706683061,39.68164300236543
5.088,75.32022363300216,39.56390669829714
5.1000000000000005,74.89359102460101,39.40345869435554
5.112,74.50327403137413,39.20257884945313
5.124,74.0905391325113,39.02624623789324
5.136,73.65657444182281,38.87315951066033
5.148,73.25746956885236,38.61792204584559
5.16,72.83598721545341,38.390014728439226
5.172,72.39176066026522,38.1267015599309
5.184,71.98410462096166,37.82834445913853
5.196,71.60943947364558,37.435622492529184
5.208,71.21027663073053,37.077186135003856
5.22,70.61345486325365,36.75582207816296
5.232,70.05956250952062,36.34104836863862
5.244,69.54904975851974,35.96027798461737
5.256,69.01966803205795,35.55182806373554
5.268,68.47379512946986,35.17832361060574
5.28,68.0272406812154,34.77367081516084
5.292,67.61749672221411,34.4019723214449
5.304,67.1841406268365,34.062755561873615
5.316,66.72845164279433,33.7542632034309
5.328,66.30983994874885,33.47333568283962
5.34,65.86643498501684,33.15867659249013
5.352,65.40095302173508,32.87325733484236
5.364,64.9712978578621,32.55280110984816
5.376,64.57678429338688,32.260267728559285
5.388,64.15711503860577,31.995511966837665
5.4,63.71365117228165,31.757048206616957
5.412,63.305871577056344,31.541964076259376
5.424,62.87348745275726,31.35042809598364
5.436,62.416297470745356,31.119963785265178
5.448,61.937040879293754,30.913876848049327
5.46,61.436883845533124,30.730876278925972
5.472,60.97508430519503,30.568194909743124
5.484,60.549410018611795,30.42468660697924
5.496,60.156281314413654,30.23807727634112
5.508,59.79522116694083,30.07182223056278
5.5200000000000005,59.464374655133895,29.92477330327765
5.532,59.10372512646191,29.79729361344355
5.5440000000000005,58.71489324080488,29.68837116170319
5.556,58.357645703181014,29.595582588102854
5.5680000000000005,58.03015652291145,29.51803294106408
5.58,57.72929233734707,29.39374866834006
5.5920000000000005,57.454868075870515,29.286340013354216
5.604,57.20536640960708,29.19486759532611
5.6160000000000005,56.92103084381511,29.119833609066568
