t,x_dot,y_dot
8.92,-0.17426256674017981,-0.974137595276553
8.94,-0.16365897471279922,-0.9759750184785032
8.96,-0.18097124849920654,-1.1164005274084177
8.98,-0.16365897471279922,-0.9759750184784644
9.0,-0.1448256586465413,-0.835774903569747
9.02,-0.16365897471279922,-0.9759750184784644
9.040000000000001,-0.18097124849920654,-1.1164005274084232
9.06,-0.1168992676520042,-0.6971250131989293
9.08,-0.16365897471279922,-0.9759750184784477
9.1,-0.18097124849920654,-1.1164005274084121
9.120000000000001,-0.1168992676520042,-0.6971250131989293
9.14,-0.16365897471279922,-0.9759750184784588
9.16,-0.18097124849920654,-1.1164005274084232
9.18,-0.16365897471279922,-0.9759750184784921
9.200000000000001,-0.1168992676520042,-0.6971250131989071
9.22,-0.18097124849920654,-1.1164005274084232
9.24,-0.18097124849920654,-1.1164005274084454
9.26,-0.09048562424960327,-0.5582002637042116
9.28,-0.18097124849920654,-1.1164005274084232
9.3,-0.18097124849921764,-1.1164005274084565
9.32,-0.09048562424960327,-0.5582002637041894
9.34,-0.18097124849920654,-1.1164005274084232
9.36,-0.20520767199658785,-1.1122007650307353
9.38,-0.14710335049742396,-0.6913821859706792
9.4,-0.18103255139165775,-0.8286865367411411
9.42,-0.13267454790507616,-0.5497023257486688
9.44,-0.28919594058712805,-1.0933738785653735
9.46,-0.14459797029355848,-0.5466869392826701
9.48,-0.2258015752846898,-0.8176232686503027
9.5,-0.31290598944798687,-1.0868259162114091
9.52,-0.15645299472398788,-0.5434129581056935
9.540000000000001,-0.2789594600651979,-0.9494699133401729
9.56,-0.25235102027125755,-0.8098228963220877
9.58,-0.17409502789330622,-0.5380205422269024
9.6,-0.34819005578660134,-1.0760410844537827
9.620000000000001,-0.269903180982245,-0.8041432917926583
9.64,-0.2786319016746419,-0.8011606731539667
9.66,-0.278631901674653,-0.801160673154
9.68,-0.2430523988647959,-0.6637576773275478
9.700000000000001,-0.394652616815272,-1.059882088924069
9.72,-0.2430523988647848,-0.6637576773275256
